## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.type,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
yt5Y8lkcfjWWw,Finding Opportunities To Increase Engagement for Voice Apps,Analytics,"Learn how to have a deep understanding of the quality of engagement on your voice app by leveraging features such as&#xA0;frequency of uses, cohort, visit/user and session lengths.",/www/img/thumb/5Y8lkcfjWWw.png,,https://youtu.be/5Y8lkcfjWWw,,,Video,,,,,,,,,,
hxcampaigntutorials,Adobe Campaign Tutorials,Campaign,"Learn the basics, or refine your skills with Adobe Campaign tutorials.",/www/img/thumb/ac-tutorials.png,,https://helpx.adobe.com/campaign/tutorials.html,,,Video,,,,,,,,,,
ytFaUHySXsSag,How to Manage and Track Your Voice Assistant App Data,Analytics,"Learn how to build a customized dashboard to manage and track performance of your voice assistant app in an easy, flexible, intuitive and visual way.",/www/img/thumb/FaUHySXsSag.png,,https://youtu.be/FaUHySXsSag,,,Video,,,,,,,,,,
hxcampaignstandardchannelsusingaboutlandingpages,About landing pages,Campaign,"Campaign comes with landing pages which are online forms that can be used to capture information on your audiences, offer subscriptions to a service, display data and grow your database.",/www/img/thumb/ac-landing-page.png,,https://helpx.adobe.com/campaign/standard/channels/using/about-landing-pages.html,,,Reference,,,,,,,,,,
ytostRKs4dKXo,Reducing Error Rates and Improving Success Rates in Your Voice App,Analytics,"Learn how to find areas of improvement for your voice app with features such as churn, success and error rates and fallback intent.",/www/img/thumb/ostRKs4dKXo.png,,https://youtu.be/ostRKs4dKXo,,,Video,,,,,,,,,,
ytWmYuHxidxio,Understand User Behavior on Voice Assistants,Analytics,"Learn how to understand user behavior and gain insights by looking at key metrics such as top intents, parameters and user authentication.",/www/img/thumb/WmYuHxidxio.png,,https://youtu.be/WmYuHxidxio,,,Video,,,,,,,,,,
ytXo6fTguWm-M,Create a Table of Contents in Analysis Workspace,Analytics,"Learn how to construct a table of contents Workspace project, and set it as your users&apos; landing page so that they can quickly find the data &amp; insights they need in Adobe Analytics.",/www/img/thumb/Xo6fTguWm-M.png,,https://youtu.be/Xo6fTguWm-M,,,Video,,,,,,,,,,
yt_NWHdceeUL4,Understand Differences Across Voice-Enabled Devices,Analytics,Learn how to understand the different performance and functionalities across various voice-assisted devices to help prioritize product roadmap,/www/img/thumb/_NWHdceeUL4.png,,https://youtu.be/_NWHdceeUL4,,,Video,,,,,,,,,,
tv25868,Adobe Campaign and Microsoft Dynamics,Campaign,"Learn how a bidirectional data connector enables you to join together the power of marketing, sales, and service.",/www/img/thumb/25868.jpg,,https://video.tv.adobe.com/v/25868/?quality=9,,,Video,,,,,,,,,,
tv22171,Design and Orchestrate Email Campaigns in Adobe Campaign Classic,Campaign,"Learn how to create a plan, program, and campaign. You will also learn to segment recipients, prepare delivery, send a proof of a delivery, and send and track a delivery.",/www/img/thumb/22171.jpg,,https://video.tv.adobe.com/v/22171/?quality=9,,,Video,,,,,,,,,,
tv25607,ACC - User Interface,Campaign,This video gives an overview over the Adobe Campaign Classic V7 user interface.,/www/img/thumb/25607.jpg,,https://video.tv.adobe.com/v/25607/?quality=9,,,Video,,,,,,,,,,
tv25604,How to create a campaign and an email ,Campaign,This video explains how to create a campaign and an email in Adobe Campaign Classic.,/www/img/thumb/25604.jpg,,https://video.tv.adobe.com/v/25604/?quality=9,,,Video,,,,,,,,,,
tv25606,How to manage seed and proofs in an email,Campaign,In this video you will learn how to add seeds and proofs to an existing email and how to send it.,/www/img/thumb/25606.jpg,,https://video.tv.adobe.com/v/25606/?quality=9,,,Video,,,,,,,,,,
hxcampaignktaccusingaccvalidationflowconfigurationtutorialsetup,How to configure validation workflows in Adobe Campaign Classic,Campaign,"This video, explains how to configure and use a delivery template in ACCAdobe Campaign offers several options for marketers to review and provide delivery content, campaign target, data extraction and budget approvals. This tutorial explains how to configure different approval validation workflows.",/www/img/thumb/25175.jpg,,https://helpx.adobe.com/campaign/kt/acc/using/acc-validation-flow-configuration-tutorial-set-up.html,,,Reference,,,,,,,,,,
tv25608,How to import profiles,Campaign,This video explains how to import profiles in Adobe Campaign Classic,/www/img/thumb/25608.jpg,,https://video.tv.adobe.com/v/25608/?quality=9,,,Video,,,,,,,,,,
hxcampaignktaccusingaccpersonalizationwithdynamiccontenblockstutorialuse,How to personalize emails using dynamic content blocks,Campaign,"This tutorial demonstrated how to personalize delivery content, use JavaScript code in delivery templates, standardize and share content blocks in different delivery templates.",/www/img/thumb/24924.jpg,,https://helpx.adobe.com/campaign/kt/acc/using/acc-personalization-with-dynamic-conten-blocks-tutorial-use.html,,,Reference,,,,,,,,,,
tv25090,How to set up fatigue management using typology rules in Adobe Campaign Classic,Campaign,Fatigue management controls frequency and quantity of messaging to avoid over-solicitation of recipients and is often applied using a typology rule. This video explains how to implement fatigue management in Adobe Campaign Classic by leveraging typology rules.,/www/img/thumb/25090.jpg,,https://video.tv.adobe.com/v/25090/?quality=9,,,Video,,,,,,,,,,
tv24981,How to set up multi channel campaigns in Adobe Campaign Classic (ACC),Campaign,"This video demonstrates how to create a multichannel campaign in Adobe Campaign Classic. You will also learn how to  configure an email, a SMS, and a direct mail delivery.",/www/img/thumb/24981.jpg,,https://video.tv.adobe.com/v/24981/?quality=9,,,Video,,,,,,,,,,
tv25605,Create a targeting workflow,Campaign,This video explains how to create a targeting workflow in Adobe Campaign Classic,/www/img/thumb/25605.jpg,,https://video.tv.adobe.com/v/25605/?quality=9,,,Video,,,,,,,,,,
tv18986,Understanding Data Management in Adobe Campaign Classic,Campaign,Learn what data management is all about and how to use workflows in Adobe Campaign Classic.,/www/img/thumb/18986.jpg,,https://video.tv.adobe.com/v/18986/?quality=9,,,Video,,,,,,,,,,
hxcampaignktaccusingaccdata_segmentationtutorialuse,Adobe Campaign Classic and Data Segmentation,Campaign,"Adobe Campaign allows you to do advanced segmentation through deep queries of the common consumer attributes and other data sources allowing you to create reusable lists, dynamically updating lists based on real-time changes to data, and even do more complex activities such as multi-variate testing on any of those data points. This tutorial explains the integrated customer profile, how to create and update the profiles and how to create customer segments based on these profiles.",/www/img/thumb/23629.jpg,,https://helpx.adobe.com/campaign/kt/acc/using/acc-data_segmentation-tutorial-use.html,,,Reference,,,,,,,,,,
tv18447,Distributing the Report in Adobe Campaign Classic,Campaign,Learn how you can distribute reports to various stakeholders in Adobe Campaign Classic,/www/img/thumb/18447.jpg,,https://video.tv.adobe.com/v/18447/?quality=9,,,Video,,,,,,,,,,
